"revision","rustdoc_item_id","public_path","kind","classification","harness_route","evidence_state"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","6230","aarch64_vmsa","module","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","6226","aarch64_vmsa","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","6227","aarch64_vmsa","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","6228","aarch64_vmsa","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","6229","aarch64_vmsa","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","321","aarch64_vmsa::address","module","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","319","aarch64_vmsa::address","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","320","aarch64_vmsa::address","use","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","105","aarch64_vmsa::address::addr","module","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","0","aarch64_vmsa::address::addr::0","struct_field","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","75","aarch64_vmsa::address::addr::0","struct_field","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","1","aarch64_vmsa::address::addr::PhysAddr","struct","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","76","aarch64_vmsa::address::addr::VirtAddr","struct","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","318","aarch64_vmsa::address::granule","module","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","240","aarch64_vmsa::address::granule::Granule16KiB","struct","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","236","aarch64_vmsa::address::granule::Granule4KiB","struct","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","244","aarch64_vmsa::address::granule::Granule64KiB","struct","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","157","aarch64_vmsa::address::granule::GranuleError","enum","value-only","pure software result of GranuleKind::validate_page_alignment; installed mapper alignment failures are separately normalized by the stable mapper surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","185","aarch64_vmsa::address::granule::GranuleKind","enum","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","191","aarch64_vmsa::address::granule::GranuleKind::align_down","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","192","aarch64_vmsa::address::granule::GranuleKind::align_up","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","190","aarch64_vmsa::address::granule::GranuleKind::is_page_aligned","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","188","aarch64_vmsa::address::granule::GranuleKind::mask","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","189","aarch64_vmsa::address::granule::GranuleKind::page_offset","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","186","aarch64_vmsa::address::granule::GranuleKind::shift","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","187","aarch64_vmsa::address::granule::GranuleKind::size","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","193","aarch64_vmsa::address::granule::GranuleKind::validate_page_alignment","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","107","aarch64_vmsa::address::granule::Level","struct","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","110","aarch64_vmsa::address::granule::Level::L0","assoc_const","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","111","aarch64_vmsa::address::granule::Level::L1","assoc_const","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","112","aarch64_vmsa::address::granule::Level::L2","assoc_const","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","113","aarch64_vmsa::address::granule::Level::L3","assoc_const","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","109","aarch64_vmsa::address::granule::Level::NEG1","assoc_const","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","108","aarch64_vmsa::address::granule::Level::NEG2","assoc_const","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","115","aarch64_vmsa::address::granule::Level::as_i8","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","125","aarch64_vmsa::address::granule::Level::distance_from","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","124","aarch64_vmsa::address::granule::Level::is_after","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","123","aarch64_vmsa::address::granule::Level::is_before","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","126","aarch64_vmsa::address::granule::Level::is_between_inclusive","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","118","aarch64_vmsa::address::granule::Level::is_l0","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","119","aarch64_vmsa::address::granule::Level::is_l1","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","120","aarch64_vmsa::address::granule::Level::is_l2","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","121","aarch64_vmsa::address::granule::Level::is_l3","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","122","aarch64_vmsa::address::granule::Level::is_negative","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","114","aarch64_vmsa::address::granule::Level::new","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","116","aarch64_vmsa::address::granule::Level::next","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","117","aarch64_vmsa::address::granule::Level::previous","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","232","aarch64_vmsa::address::granule::TranslationGranule","trait","type-only","typed catalog bounds and compile-time regime/format selection","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","317","aarch64_vmsa::address::granule::div_ceil_u8","function","value-only","geometry.value-boundaries","evidence-complete"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","539","aarch64_vmsa::arch","module","type-only","public namespace and reexport surface","classified"
"ada32824cd813c16ab6ea30322ee396aad3aaa75","538","aarch64_vmsa::arch","use","type-only","public namespace and reexport surface","classified"
